rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,detalle_niveles,fila_excel
A05,A,INGRESOS DE GESTANTES A PROGRAMA PRENATAL,01080008,Gestantes Ingresadas,Gestantes Ingresadas,11
A05,A,INGRESOS DE GESTANTES A PROGRAMA PRENATAL,01080010,Primigestas Ingresadas,Primigestas Ingresadas,12
A05,A,INGRESOS DE GESTANTES A PROGRAMA PRENATAL,01080009,Gestantes Ingresadas antes de las 14 Semanas,Gestantes Ingresadas antes de las 14 Semanas,13
A05,A,INGRESOS DE GESTANTES A PROGRAMA PRENATAL,01090050,Gestantes con Embarazo no Planificado,Gestantes con Embarazo no Planificado,14
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),05810010,Nº de Gestantes Ingresadas,Nº de Gestantes Ingresadas,18
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),01090040,Preeclampsia (PE),Preeclampsia (PE),19
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),05810020,Síndrome Hipertensivo del Embarazo (SHE),Síndrome Hipertensivo del Embarazo (SHE),20
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),24100700,Factores de Riesgo y Condicionantes de Parto Prematuro,Factores de Riesgo y Condicionantes de Parto Prematuro,21
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),01080017,Retardo Crecimiento Intrauterino (RCIU),Retardo Crecimiento Intrauterino (RCIU),22
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),24090050,SÍFILIS,SÍFILIS,23
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),24090060,VIH,VIH,24
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),01080018,Diabetes,Diabetes,25
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),01080019,Cesárea Anterior,Cesárea Anterior,26
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),05810030,Malformación Congénita,Malformación Congénita,27
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),05990000,Hipotiroidismo,Hipotiroidismo,28
A05,B,INGRESO DE GESTANTES CON PATOLOGÍA DE ALTO RIESGO OBSTÉTRICO A LA UNIDAD DE ARO (Nivel Secundario),05990001,Diabetes Gestacional,Diabetes Gestacional,29
