rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL01,C,3,TOTAL - Procesados,TOTAL,Procesados,,,,"['TOTAL', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL02,D,4,TOTAL - Reactivos,TOTAL,Reactivos,,,,"['TOTAL', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL03,E,5,RANGO ETARIO - Menos de 6 meses - Procesados,RANGO ETARIO,Menos de 6 meses,Procesados,,,"['RANGO ETARIO', 'Menos de 6 meses', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL04,F,6,RANGO ETARIO - Menos de 6 meses - Reactivos,RANGO ETARIO,Menos de 6 meses,Reactivos,,,"['RANGO ETARIO', 'Menos de 6 meses', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL05,G,7,RANGO ETARIO - 6 - 11 meses - Procesados,RANGO ETARIO,6,11 meses,Procesados,,"['RANGO ETARIO', '6', '11 meses', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL06,H,8,RANGO ETARIO - 6 - 11 meses - Reactivos,RANGO ETARIO,6,11 meses,Reactivos,,"['RANGO ETARIO', '6', '11 meses', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL07,I,9,RANGO ETARIO - 12-24 meses - Procesados,RANGO ETARIO,12-24 meses,Procesados,,,"['RANGO ETARIO', '12-24 meses', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL08,J,10,RANGO ETARIO - 12-24 meses - Reactivos,RANGO ETARIO,12-24 meses,Reactivos,,,"['RANGO ETARIO', '12-24 meses', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL09,K,11,RANGO ETARIO - 3 - 4 años - Procesados,RANGO ETARIO,3,4 años,Procesados,,"['RANGO ETARIO', '3', '4 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL10,L,12,RANGO ETARIO - 3 - 4 años - Reactivos,RANGO ETARIO,3,4 años,Reactivos,,"['RANGO ETARIO', '3', '4 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL11,M,13,RANGO ETARIO - 5 - 9 años - Procesados,RANGO ETARIO,5,9 años,Procesados,,"['RANGO ETARIO', '5', '9 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL12,N,14,RANGO ETARIO - 5 - 9 años - Reactivos,RANGO ETARIO,5,9 años,Reactivos,,"['RANGO ETARIO', '5', '9 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL13,O,15,RANGO ETARIO - 10 - 14 años - Procesados,RANGO ETARIO,10,14 años,Procesados,,"['RANGO ETARIO', '10', '14 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL14,P,16,RANGO ETARIO - 10 - 14 años - Reactivos,RANGO ETARIO,10,14 años,Reactivos,,"['RANGO ETARIO', '10', '14 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL15,Q,17,RANGO ETARIO - 15 - 19 años - Procesados,RANGO ETARIO,15,19 años,Procesados,,"['RANGO ETARIO', '15', '19 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL16,R,18,RANGO ETARIO - 15 - 19 años - Reactivos,RANGO ETARIO,15,19 años,Reactivos,,"['RANGO ETARIO', '15', '19 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL17,S,19,RANGO ETARIO - 20 - 24 años - Procesados,RANGO ETARIO,20,24 años,Procesados,,"['RANGO ETARIO', '20', '24 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL18,T,20,RANGO ETARIO - 20 - 24 años - Reactivos,RANGO ETARIO,20,24 años,Reactivos,,"['RANGO ETARIO', '20', '24 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL19,U,21,RANGO ETARIO - 25 - 29 años - Procesados,RANGO ETARIO,25,29 años,Procesados,,"['RANGO ETARIO', '25', '29 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL20,V,22,RANGO ETARIO - 25 - 29 años - Reactivos,RANGO ETARIO,25,29 años,Reactivos,,"['RANGO ETARIO', '25', '29 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL21,W,23,RANGO ETARIO - 30 - 34 años - Procesados,RANGO ETARIO,30,34 años,Procesados,,"['RANGO ETARIO', '30', '34 años', 'Procesados']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL22,X,24,RANGO ETARIO - 30 - 34 años - Reactivos,RANGO ETARIO,30,34 años,Reactivos,,"['RANGO ETARIO', '30', '34 años', 'Reactivos']",13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,COL23,Y,25,RANGO ETARIO - 35 - 39 años - Procesados,RANGO ETARIO,35,39 años,Procesados,,"['RANGO ETARIO', '35', '39 años', 'Procesados']",13
