rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL01,E,5,TOTAL - Ambos sexos,TOTAL,Ambos sexos,,,,"['TOTAL', 'Ambos sexos']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL02,F,6,TOTAL - Hombres,TOTAL,Hombres,,,,"['TOTAL', 'Hombres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL03,G,7,TOTAL - Mujeres,TOTAL,Mujeres,,,,"['TOTAL', 'Mujeres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL04,H,8,RANGO ETARIO Y SEXO - Menor 1 Año - Hombres,RANGO ETARIO Y SEXO,Menor 1 Año,Hombres,,,"['RANGO ETARIO Y SEXO', 'Menor 1 Año', 'Hombres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL05,I,9,RANGO ETARIO Y SEXO - Menor 1 Año - Mujeres,RANGO ETARIO Y SEXO,Menor 1 Año,Mujeres,,,"['RANGO ETARIO Y SEXO', 'Menor 1 Año', 'Mujeres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL06,J,10,RANGO ETARIO Y SEXO - 1 año - Hombres,RANGO ETARIO Y SEXO,1 año,Hombres,,,"['RANGO ETARIO Y SEXO', '1 año', 'Hombres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL07,K,11,RANGO ETARIO Y SEXO - 1 año - Mujeres,RANGO ETARIO Y SEXO,1 año,Mujeres,,,"['RANGO ETARIO Y SEXO', '1 año', 'Mujeres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL08,L,12,RANGO ETARIO Y SEXO - 2 a 4 años - Hombres,RANGO ETARIO Y SEXO,2 a 4 años,Hombres,,,"['RANGO ETARIO Y SEXO', '2 a 4 años', 'Hombres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL09,M,13,RANGO ETARIO Y SEXO - 2 a 4 años - Mujeres,RANGO ETARIO Y SEXO,2 a 4 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '2 a 4 años', 'Mujeres']",12
P11,A,POBLACIÓN EN CONTROL DEL PROGRAMA DE VIH/SIDA (Uso exclusivo Centros de Atención VIH-SIDA),P11000150,Nº Total de personas con VIH/SIDA - Gestantes - Inicia TARV en este embarazo,COL10,N,14,RANGO ETARIO Y SEXO - 5 a 9 años - Hombres,RANGO ETARIO Y SEXO,5 a 9 años,Hombres,,,"['RANGO ETARIO Y SEXO', '5 a 9 años', 'Hombres']",12
