rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,detalle_niveles,fila_excel
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,D . I . U T con Cobre,11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1060124,D . I . U con Levonorgestrel - D . I . U T con Cobre,D . I . U con Levonorgestrel - D . I . U T con Cobre,12
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010201,Hormonal - Oral Combinado,Hormonal - Oral Combinado,13
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010202,Hormonal - Oral Progestágeno,Hormonal - Oral Progestágeno,14
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010203,Hormonal - Inyectable Combinado,Hormonal - Inyectable Combinado,15
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1040508,Hormonal - Inyectable Progestágeno,Hormonal - Inyectable Progestágeno,16
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1040500,Hormonal - Implante Etonogestrel (3 años),Hormonal - Implante Etonogestrel (3 años),17
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1200190,Hormonal - Implante Levonorgestrel (5 años),Hormonal - Implante Levonorgestrel (5 años),18
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1600105,Hormonal - Anillo Vaginal,Hormonal - Anillo Vaginal,19
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010301,Solo Preservativo MAC - Mujer,Solo Preservativo MAC - Mujer,20
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010302,Solo Preservativo MAC - Hombres,Solo Preservativo MAC - Hombres,21
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1200240,Esterilización Quirúrgica - Mujer,Esterilización Quirúrgica - Mujer,22
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1200250,Esterilización Quirúrgica - Hombres,Esterilización Quirúrgica - Hombres,23
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1700100,Otro,Otro,24
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1060010,Mujeres en control con enfermedad cardiovascular (DM-HTA),Mujeres en control con enfermedad cardiovascular (DM-HTA),26
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1600106,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 3 años) - En APS,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 3 años) - En APS,27
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1600107,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 3 años) - En Extrasistema,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 3 años) - En Extrasistema,28
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1600108,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 5 años) - En APS,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 5 años) - En APS,29
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1600109,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 5 años) - En Extrasistema,Mujeres con Retiro de Implante Anticipado en el semestre (antes de los 5 años) - En Extrasistema,30
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1060090,Método de Regulación de Fertilidad más Preservativo,Método de Regulación de Fertilidad más Preservativo,31
P1,A.1,POBLACIÓN EN CONTROL SEGÚN SALUD SEXUAL,P1200200,Preservativo/Práctica Sexual segura - Mujer,Preservativo/Práctica Sexual segura - Mujer,35
P1,A.1,POBLACIÓN EN CONTROL SEGÚN SALUD SEXUAL,P1200210,Preservativo/Práctica Sexual segura - Hombres,Preservativo/Práctica Sexual segura - Hombres,36
P1,A.1,POBLACIÓN EN CONTROL SEGÚN SALUD SEXUAL,P1200220,Lubricantes - Mujer,Lubricantes - Mujer,37
P1,A.1,POBLACIÓN EN CONTROL SEGÚN SALUD SEXUAL,P1200230,Lubricantes - Hombres,Lubricantes - Hombres,38
P1,A.1,POBLACIÓN EN CONTROL SEGÚN SALUD SEXUAL,P1200350,Condon Femenino,Condon Femenino,39
P1,A.1,POBLACIÓN EN CONTROL SEGÚN SALUD SEXUAL,P1200270,Gestantes que reciben preservativo,Gestantes que reciben preservativo,40
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1020100,Menos de 15 años,Menos de 15 años,44
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1020200,15 a 19 años,15 a 19 años,45
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1040501,20 a 24 años,20 a 24 años,46
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1060100,25 a 29 años,25 a 29 años,47
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1060101,30 a 34 años,30 a 34 años,48
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1060102,35 a 39 años,35 a 39 años,49
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1060103,40 a 44 años,40 a 44 años,50
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1060104,45 a 49 años,45 a 49 años,51
P1,B,GESTANTES EN CONTROL CON EVALUACIÓN RIESGO BIOPSICOSOCIAL,P1060105,50 a 54 años,50 a 54 años,52
P1,C,GESTANTES EN RIESGO PSICOSOCIAL CON VISITA DOMICILIARIA INTEGRAL REALIZADA EN EL SEMESTRE,P1040502,1 Visita,1 Visita,57
P1,C,GESTANTES EN RIESGO PSICOSOCIAL CON VISITA DOMICILIARIA INTEGRAL REALIZADA EN EL SEMESTRE,P1040503,2 Visitas,2 Visitas,58
P1,C,GESTANTES EN RIESGO PSICOSOCIAL CON VISITA DOMICILIARIA INTEGRAL REALIZADA EN EL SEMESTRE,P1040504,3 Visitas,3 Visitas,59
